Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone4,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory2ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory3ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,0,0,1.57346e+08,0,0,121849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,121849.0
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,8.61466e+07,0,0,535.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,535.8
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,0,0,1.03152e+08,0,0,532.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,532.4
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,8.62291e+07,0,0,528.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,528.9
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,40625.1,2.86361e+08,0,1.45749e+08,0,5.95859e+07,525.424,0,1516.43,0,2867.45,2201.54,1909.66,1862.23,0,2328.31,1469.66,0,0,0,2977.7,0,17133.0,0,17133.0,525.4
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,26165.3,8.92956e+07,2.07119e+06,2.76986e+08,0,4.55243e+07,521.966,0,1061.14,0,2219.38,1420.48,1527.76,1482.8,-2662.72,1582.89,1013.4,0,0,0,2350.86,0,9996.0,-2662.7,12658.7,522.0
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,21369.1,5.75241e+07,0,3.8966e+08,0,3.85066e+07,114827,0,966.231,0,1786.31,1297.26,1233.33,1191.92,-6315.85,1425.61,919.865,0,0,0,1878.31,0,4383.0,-6315.9,10698.8,114827.0
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,5.06376e+07,0,5.11551e+08,0,0,114957,0,0,-2142.37,0,0,0,0,-4421.39,0,0,0,0,-4901.11,0,0,-11464.9,-11464.9,0,114957.0
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,9.10409e+07,0,5.8228e+08,0,0,114886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,114886.0
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,1.92844e+08,0,5.83435e+08,0,752037,114894,0,0,0,0,0,65.7205,79.0438,0,0,0,0,0,0,63.9018,0,208.7,0,208.7,114894.0
