Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,SiteOutdoorAirDrybulbTemperature_Environment,SiteOutdoorAirRelativeHumidity_Environment,HeatingElectricity,HeatingNaturalGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingEnergyTransfer,WaterHeaterTotalDemandHeatTransferRate,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone3,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone2,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone1,ZonePredictedSensibleLoadtoSetpointHeatTransferRate_BuildingStory1ThermalZone4,TotalSensibleLoad,TotalCoolingSensibleLoad,TotalHeatingSensibleLoad,TotalWaterHeating
01/01/2017 01:00,1,1,0,1,0,3600,-0.6,89,0,0,0,1.03637e+08,0,0,83710.3,0,0,0,0,0,0.0,0,0,83710.3
01/01/2017 02:00,1,1,0,2,0,7200,-0.6,89,0,0,0,6.10958e+07,0,0,449.264,0,0,0,0,0,0.0,0,0,449.3
01/01/2017 03:00,1,1,0,3,0,10800,-1.1,85,0,0,0,7.2651e+07,0,0,445.757,0,0,0,0,0,0.0,0,0,445.8
01/01/2017 04:00,1,1,0,4,0,14400,-1.1,92,0,0,0,6.10958e+07,0,0,442.173,0,0,0,0,0,0.0,0,0,442.2
01/01/2017 05:00,1,1,0,5,0,18000,-1.1,89,27654.9,3.12629e+08,0,1.0174e+08,0,3.51652e+07,438.618,3379.81,1812.66,0,3221.72,1752.79,10167.0,0,10167.0,438.6
01/01/2017 06:00,1,1,0,6,0,21600,-0.6,85,10547.9,6.08783e+07,0,1.84783e+08,0,2.09609e+07,435.092,1907.33,1113.2,-4730.35,1776.54,1039.21,1105.9,-4730.4,5836.3,435.1
01/01/2017 07:00,1,1,0,7,0,25200,-0.6,89,8881.8,2.67455e+07,0,2.21595e+08,0,1.46794e+07,78886.1,1329.69,798.986,-10415,1202.95,747.517,-6335.9,-10415.0,4079.1,78886.1
01/01/2017 08:00,1,1,0,8,0,28800,-0.6,85,0,2.42884e+07,0,3.68106e+08,0,0,78979.9,0,0,-8266.77,0,0,-8266.8,-8266.8,0,78979.9
01/01/2017 09:00,1,1,0,9,0,32400,-1.1,89,0,3.59371e+07,0,3.77913e+08,0,0,78924.5,0,0,-11650.2,0,0,-11650.2,-11650.2,0,78924.5
01/01/2017 10:00,1,1,0,10,0,36000,-0.6,89,0,3.72524e+07,0,4.12902e+08,0,0,78945,0,0,-8993.14,0,0,-8993.1,-8993.1,0,78945.0
01/01/2017 11:00,1,1,0,11,0,39600,0,82,0,5.95429e+07,0,5.43315e+08,0,0,95997.5,0,0,-12776.1,0,0,-12776.1,-12776.1,0,95997.5
01/01/2017 12:00,1,1,0,12,0,43200,0,85,0,3.00331e+07,0,5.78184e+08,0,0,96101.1,0,0,-21484.5,0,0,-21484.5,-21484.5,0,96101.1
01/01/2017 13:00,1,1,0,13,0,46800,0,89,0,1.56352e+07,0,5.431e+08,0,0,91191.5,0,0,-31104.6,0,-24.0615,-31128.7,-31128.7,0,91191.5
01/01/2017 14:00,1,1,0,14,0,50400,0.6,85,0,1.42329e+07,0,5.19775e+08,0,0,91068.7,0,0,-30597.8,0,0,-30597.8,-30597.8,0,91068.7
01/01/2017 15:00,1,1,0,15,0,54000,0.6,89,0,1.95843e+07,0,4.84958e+08,0,0,86210.5,0,0,-18158.8,0,0,-18158.8,-18158.8,0,86210.5
